cod_dpto,dpto,cod_mpio,nom_mpio,tipo_municipio,longitud,latitud,llave_norm
15,BOYACÁ,15600,RÁQUIRA,Municipio,,,BOYACA|RAQUIRA
15,BOYACÁ,15621,RONDÓN,Municipio,,,BOYACA|RONDON
15,BOYACÁ,15632,SABOYÁ,Municipio,,,BOYACA|SABOYA
15,BOYACÁ,15638,SÁCHICA,Municipio,,,BOYACA|SACHICA
15,BOYACÁ,15646,SAMACÁ,Municipio,,,BOYACA|SAMACA
15,BOYACÁ,15660,SAN EDUARDO,Municipio,,,BOYACA|SAN EDUARDO
15,BOYACÁ,15664,SAN JOSÉ DE PARE,Municipio,,,BOYACA|SAN JOSE DE PARE
15,BOYACÁ,15667,SAN LUIS DE GACENO,Municipio,,,BOYACA|SAN LUIS DE GACENO
15,BOYACÁ,15673,SAN MATEO,Municipio,,,BOYACA|SAN MATEO
15,BOYACÁ,15676,SAN MIGUEL DE SEMA,Municipio,,,BOYACA|SAN MIGUEL DE SEMA
15,BOYACÁ,15681,SAN PABLO DE BORBUR,Municipio,,,BOYACA|SAN PABLO DE BORBUR
15,BOYACÁ,15686,SANTANA,Municipio,,,BOYACA|SANTANA
15,BOYACÁ,15690,SANTA MARÍA,Municipio,,,BOYACA|SANTA MARIA
15,BOYACÁ,15693,SANTA ROSA DE VITERBO,Municipio,,,BOYACA|SANTA ROSA DE VITERBO
15,BOYACÁ,15696,SANTA SOFÍA,Municipio,,,BOYACA|SANTA SOFIA
15,BOYACÁ,15720,SATIVANORTE,Municipio,,,BOYACA|SATIVANORTE
15,BOYACÁ,15723,SATIVASUR,Municipio,,,BOYACA|SATIVASUR
15,BOYACÁ,15740,SIACHOQUE,Municipio,,,BOYACA|SIACHOQUE
15,BOYACÁ,15753,SOATÁ,Municipio,,,BOYACA|SOATA
15,BOYACÁ,15755,SOCOTÁ,Municipio,,,BOYACA|SOCOTA
15,BOYACÁ,15757,SOCHA,Municipio,,,BOYACA|SOCHA
15,BOYACÁ,15759,SOGAMOSO,Municipio,,,BOYACA|SOGAMOSO
